MODEL_FILTER,SOURCE_TABLE_NAME,TARGET_TABLE_NAME,RULE_NAME,RULE_SQL,IS_ACTIVE
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.TRANSACTION_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.TRANSACTION_TGT,TRANSACTION_TYPE_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.TRANSACTION_TGT WHERE TRANSACTION_TYPE NOT IN ('CREDIT','DEBIT')",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.TRANSACTION_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.TRANSACTION_TGT,TRANSACTION_STATUS_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.TRANSACTION_TGT WHERE TRANSACTION_STATUS NOT IN ('SUCCESS','FAILED','PENDING')",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.TRANSACTION_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.TRANSACTION_TGT,ACCOUNT_ID_NOT_NULL_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.TRANSACTION_TGT WHERE ACCOUNT_ID IS NULL",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.EMPLOYEE_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.EMPLOYEE_TGT,SALARY_NON_NEGATIVE_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.EMPLOYEE_TGT WHERE SALARY < 0",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.EMPLOYEE_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.EMPLOYEE_TGT,EMPLOYEE_STATUS_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.EMPLOYEE_TGT WHERE STATUS NOT IN ('ACTIVE','INACTIVE')",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.EMPLOYEE_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.EMPLOYEE_TGT,EMPLOYEE_NAME_NOT_NULL_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.EMPLOYEE_TGT WHERE EMPLOYEE_NAME IS NULL",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.EMPLOYEE_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.EMPLOYEE_TGT,JOIN_DATE_NOT_NULL_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.EMPLOYEE_TGT WHERE JOIN_DATE IS NULL",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.PRODUCT_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.PRODUCT_TGT,INR_CURRENCY_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.PRODUCT_TGT WHERE CURRENCY NOT IN ('INR')",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.PRODUCT_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.PRODUCT_TGT,PRICE_POSITIVE_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.PRODUCT_TGT WHERE PRICE <= 0",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.PRODUCT_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.PRODUCT_TGT,STOCK_NON_NEGATIVE_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.PRODUCT_TGT WHERE STOCK_QTY < 0",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.PRODUCT_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.PRODUCT_TGT,PRODUCT_STATUS_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.PRODUCT_TGT WHERE STATUS NOT IN ('ACTIVE','INACTIVE')",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.PRODUCT_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.PRODUCT_TGT,PRODUCT_NAME_NOT_NULL_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.PRODUCT_TGT WHERE PRODUCT_NAME IS NULL",Y
